speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
Precious-015_mono,?b?,2,closed,0.09441,530,2001,2879,female
Yaw-007_mono,f?,3,open,0.11179,413,1924,2353,male
Osei-016_mono,hu,u,open,0.146,329,1014,2507,male
FELIX-02_mono,t?,4,open,0.17688,426,811,2154,male
Eric-020_mono,da,a,open,0.15525,625,1460,1827,male
Jane-022_mono,obi,i,open,0.19042,267,2212,3049,female
Sly-022,f?,3,open,0.18157,517,1815,2326,male
Cynthia-013_mono,f?,3,open,0.17974,510,1908,2430,female
Moses-012_mono,?p?,2,closed,0.10599,591,1683,2598,male
OKRAH-08,?p?,2,closed,0.08394,602,1708,2812,male
Moses-012_mono,?du,u,open,0.19389,332,1045,2301,male
OKRAH-08,t?,4,open,0.13578,380,823,2151,male
OKRAH-08,obi,o,closed,0.10988,389,989,2613,male
OKRAH-08,?p?,1,open,0.13533,491,872,1968,male
Boampong-009_mono,da,a,open,0.17254,718,1460,2414,male
OKRAH-08,ko,o,open,0.12882,424,1053,2229,male
OKRAH-08,k?,1,open,0.12476,534,963,2082,male
Osei-016_mono,ab?,a,closed,0.07691,780,1460,2272,male
Boampong-009_mono,ebi,i,open,0.125,259,2217,3162,male
Vincent-019_mono,?di,i,open,0.12205,247,2229,3275,male
Eunice-008_mono,f?,3,open,0.17939,409,2062,2836,female
Sly-022,?p?,2,closed,0.07685,606,1788,2201,male
OKRAH-08,?p?,2,closed,0.09567,611,1630,2727,male
Ama-023_mono,??b?,2,open,0.20662,535,2172,3084,female
OKRAH-08,?p?,1,open,0.13533,491,872,1968,male
OKRAH-08,?b?,2,closed,0.1287,613,2102,2722,male
Eunice-008_mono,?b?,2,open,0.13582,542,2103,2886,female
Mary-018_mono,?p?,4,open,0.1136,493,842,2644,female
Eunice-008_mono,hu,u,open,0.17967,346,1055,2564,female
Precious-015_mono,fa,a,open,0.12828,770,1462,2330,female
OKRAH-08,ad??,a,closed,0.07879,715,1481,2431,male
Jane-022_mono,f?,3,open,0.18647,522,2268,3158,female
Mary-018_mono,f?,3,open,0.10353,523,2378,3057,female
Naura-017_mono,f?,3,open,0.13971,464,2315,2821,female
Vincent-019_mono,ebi,i,open,0.12284,263,2235,3481,male
Precious-015_mono,f?,3,open,0.27374,487,1917,2547,female
Ama-023_mono,f?,3,open,0.2312,456,2246,2761,female
Sly-022,?b?,2,open,0.1414,614,1954,2472,male
Eunice-008_mono,?p?,2,closed,0.08239,546,1727,2688,female
Cynthia-013_mono,?du,u,open,0.10194,269,1064,2330,female
Eunice-008_mono,t?,4,open,0.13583,466,864,2276,female
Osei-016_mono,obi,o,closed,0.10805,353,759,2325,male
Osei-016_mono,ko,o,open,0.15123,492,1400,2238,male
Osei-016_mono,?p?,1,open,0.14064,667,987,2051,male
Osei-016_mono,k?,1,open,0.12056,662,1027,2453,male
Vincent-019_mono,fa,a,open,0.16739,843,1484,2421,male
FELIX-02_mono,da,a,open,0.19021,726,1509,2252,male
Elizabeth-010_mono,ebi,e,closed,0.12829,466,2517,3038,female
Eunice-008_mono,gyidie,e,open,0.16272,386,2376,2568,female
OKRAH-08,ebi,e,closed,0.11411,354,2351,2972,male
Cynthia-013_mono,ab?,2,open,0.1098,553,1973,2586,female
Precious-015_mono,ab?,a,closed,0.08697,979,1530,3175,female
Sly-022,?di,i,open,0.14951,273,2235,2802,male
Naura-017_mono,ab?,2,open,0.20963,566,1678,2347,female
Jane-022_mono,?b?,2,closed,0.10299,581,2134,3544,female
Cynthia-013_mono,ebi,i,open,0.10032,294,2237,2736,female
Cynthia-013_mono,?b?,2,open,0.10079,582,1951,2547,female
Mary-018_mono,?b?,2,closed,0.06831,583,1999,2793,female
Ama-023_mono,bue,e,open,0.18571,342,2331,2739,female
Precious-015_mono,?du,u,open,0.18686,252,1085,2254,female
Sly-022,t?,4,open,0.16238,455,868,2435,male
Sly-022,ab?,a,closed,0.09702,795,1545,2246,male
FELIX-02_mono,ebi,i,open,0.15544,238,2312,2979,male
Naura-017_mono,pue,e,open,0.20861,448,2298,2318,female
OKRAH-07_mono,bue,e,open,0.1485,384,2296,2694,male
Jane-022_mono,?p?,2,closed,0.11543,589,1910,2458,female
Jane-022_mono,?p?,2,closed,0.12042,592,1917,3452,female
Cynthia-013_mono,hu,u,open,0.27033,322,1092,2269,female
Attah-021_mono,?p?,1,open,0.11326,621,802,1777,male
Attah-021_mono,k?,1,open,0.10461,612,917,2006,male
Jane-022_mono,t?,4,open,0.19292,467,877,3069,female
Attah-021_mono,obi,o,closed,0.10734,337,693,2234,male
Attah-021_mono,ko,o,open,0.1322,624,1024,1938,male
Naura-017_mono,ab?,a,closed,0.10831,896,1545,2713,female
Osei-016_mono,fa,a,open,0.13132,764,1546,2305,male
Eunice-008_mono,pue,e,open,0.12485,401,2295,2613,female
Osei-016_mono,pue,e,open,0.10765,325,2288,2847,male
Eunice-008_mono,bue,e,open,0.1769,383,2281,2588,female
Cynthia-013_mono,?p?,2,closed,0.08843,598,1927,2502,female
Cynthia-013_mono,fa,a,open,0.14895,950,1547,2277,female
OKRAH-08,?di,i,open,0.12606,270,2335,3357,male
Cynthia-013_mono,?b?,2,closed,0.09412,604,1988,2646,female
Cynthia-013_mono,?p?,2,closed,0.09543,619,1784,2528,female
Naura-017_mono,?b?,2,open,0.1532,630,1631,2289,female
Moses-012_mono,ebi,i,open,0.15659,525,2338,3208,male
Mary-018_mono,?p?,2,closed,0.06536,630,1967,2770,female
Sly-022,ebi,e,closed,0.07848,383,2281,2843,male
Vincent-019_mono,?du,u,open,0.13924,294,1151,2353,male
Ama-023_mono,?p?,4,open,0.19395,458,985,2884,female
FELIX-02_mono,ad??,a,closed,0.11734,891,1557,2504,male
OKRAH-08,ebi,i,open,0.12735,277,2359,2943,male
Naura-017_mono,gyidie,e,open,0.18675,453,2274,2354,female
Vincent-019_mono,pue,e,open,0.14101,382,2271,3279,male
Naura-017_mono,?b?,2,closed,0.10743,634,1668,2127,female
Mary-018_mono,ab?,2,open,0.1944,655,2084,2932,female
Yaw-007_mono,hu,u,open,0.12621,317,1173,2246,male
Moses-012_mono,?p?,4,open,0.17126,481,989,2512,male
Vincent-019_mono,obi,o,closed,0.09039,288,807,2614,male
Vincent-019_mono,ko,o,open,0.11692,432,627,2583,male
Vincent-019_mono,?p?,1,open,0.09181,536,800,2397,male
Vincent-019_mono,k?,1,open,0.08553,555,817,2153,male
Eunice-008_mono,fa,a,open,0.11498,883,1558,2359,female
Vincent-019_mono,ad??,a,closed,0.12164,1103,1568,2672,male
Moses-012_mono,gyidie,e,open,0.16732,456,2264,2756,male
Ama-023_mono,ebi,e,closed,0.09498,347,2259,2372,female
Vincent-019_mono,bue,e,open,0.15755,304,2257,3019,male
Mary-018_mono,?b?,2,open,0.14149,658,2292,3026,female
Sly-022,da,a,open,0.18482,761,1589,2264,male
OKRAH-08,obi,i,open,0.1389,344,2362,3071,male
Elizabeth-010_mono,?b?,2,open,0.22258,664,2233,2559,female
Naura-017_mono,?p?,2,closed,0.11553,678,1936,2743,female
Sly-022,obi,i,open,0.18612,292,2366,2692,male
Mary-018_mono,?p?,2,closed,0.08673,678,2151,2861,female
Ama-023_mono,?p?,2,closed,0.08273,696,1909,2831,female
Naura-017_mono,bue,e,open,0.24899,360,2251,2539,female
FELIX-02_mono,?du,u,open,0.15656,253,1216,2278,male
Precious-015_mono,t?,4,open,0.12724,426,993,2756,female
Ama-023_mono,ad??,a,closed,0.10037,967,1599,2777,female
Precious-015_mono,?di,i,open,0.08916,417,2533,2803,female
Vincent-019_mono,gyidie,e,open,0.13578,394,2250,2999,male
Precious-015_mono,bue,e,open,0.18231,399,2244,2464,female
Naura-017_mono,?p?,2,closed,0.11955,702,2027,2537,female
Elizabeth-010_mono,?b?,2,closed,0.10213,731,2267,2515,female
Jane-022_mono,?du,u,open,0.14548,264,1239,2893,female
Naura-017_mono,?p?,4,open,0.18225,523,1011,3224,female
Yaw-007_mono,obi,o,closed,0.09731,445,1231,2198,male
Yaw-007_mono,?p?,1,open,0.09156,602,912,1741,male
Moses-012_mono,fa,a,open,0.15924,734,1600,1984,male
Cynthia-013_mono,ad??,a,closed,0.12451,888,1601,2266,female
Yaw-007_mono,k?,1,open,0.11505,559,916,1896,male
Yaw-007_mono,ko,o,open,0.13229,409,1321,2243,male
Yaw-007_mono,ebi,e,closed,0.09761,448,2240,2634,male
Boampong-009_mono,ebi,e,closed,0.09005,544,2236,3214,male
Vincent-019_mono,ebi,e,closed,0.0705,397,2219,2451,male
Mary-018_mono,?du,ae,closed,0.05156,646,1833,3285,female
Ama-023_mono,fa,a,open,0.22039,810,1611,2738,female
Eunice-008_mono,obi,i,open,0.15217,317,2554,3208,female
Ama-023_mono,?di,ae,closed,0.12597,588,2061,2930,female
Eunice-008_mono,ebi,i,open,0.14877,354,2562,3190,female
Ama-023_mono,?du,ae,closed,0.10882,614,2084,2774,female
Jane-022_mono,?di,ae,closed,0.13025,651,2053,2982,female
Jane-022_mono,gyidie,e,open,0.16218,335,2218,2773,female
Osei-016_mono,?du,u,open,0.11219,204,1249,2384,male
