name,Frequency,Intensity
blow,6858.3251953125,-19.18717552399483
blow,6869.091796875,-15.826542996732142
blow,6879.8583984375,-11.801454690250177
blow,6890.625,-11.646829490198078
blow,6901.3916015625,-16.14888949484532
blow,6912.158203125,-11.985406097024658
blow,6922.9248046875,-16.771438639803545
blow,6933.69140625,-16.927028040240874
blow,6944.4580078125,-17.309497278677725
blow,6955.224609375,-14.477854406157702
blow,6965.9912109375,-15.069468384285207
blow,6976.7578125,-14.985021558496786
blow,6987.5244140625,-14.661465859820218
blow,6998.291015625,-12.780285308704089
blow,7009.0576171875,-14.653454843929472
blow,7019.82421875,-45.12535436804828
blow,7030.5908203125,-13.52872378591166
blow,7041.357421875,-10.641074136901025
blow,7052.1240234375,-22.31140474863995
blow,7062.890625,-21.156200802184856
blow,7073.6572265625,-18.532609036594955
blow,7084.423828125,-20.998504330267966
blow,7095.1904296875,-12.844125481182882
blow,7105.95703125,-14.760040536567143
blow,7116.7236328125,-16.527960566545275
blow,7127.490234375,-14.890766518491512
blow,7138.2568359375,-20.829938514865955
blow,7149.0234375,-18.013394937886385
blow,7159.7900390625,-13.411404844550221
blow,7170.556640625,-13.571225897363801
blow,7181.3232421875,-14.18506952598804
blow,7192.08984375,-15.232746985447596
blow,7202.8564453125,-14.249335579057917
blow,7213.623046875,-13.076241957960836
blow,7224.3896484375,-13.143878669646607
blow,7235.15625,-15.703747137432057
blow,7245.9228515625,-22.026324217164266
blow,7256.689453125,-23.093282283120622
blow,7267.4560546875,-12.464800901925484
blow,7278.22265625,-16.513920615939774
blow,7288.9892578125,-22.502558818797066
blow,7299.755859375,-12.94420223199679
blow,7310.5224609375,-16.387947952916075
blow,7321.2890625,-17.208534845700406
blow,7332.0556640625,-14.856795527415674
blow,7342.822265625,-17.546783038050012
blow,7353.5888671875,-15.612303058813982
blow,7364.35546875,-18.412179870622754
blow,7375.1220703125,-21.223158363543963
blow,7385.888671875,-11.883882256569485
blow,7396.6552734375,-14.643843487614948
blow,7407.421875,-17.124532028487412
blow,7418.1884765625,-15.703101253141243
blow,7428.955078125,-15.819636729145738
blow,7439.7216796875,-15.64597533633224
blow,7450.48828125,-23.141515154458073
blow,7461.2548828125,-15.529164544083232
blow,7472.021484375,-13.595998987074553
blow,7482.7880859375,-11.146734883111906
blow,7493.5546875,-13.2157437274153
blow,7504.3212890625,-20.07659449495586
blow,7515.087890625,-28.40230471685446
blow,7525.8544921875,-20.335509803715865
blow,7536.62109375,-13.163811811668074
blow,7547.3876953125,-15.061355025928345
blow,7558.154296875,-22.057413453727776
blow,7568.9208984375,-16.903613620242115
blow,7579.6875,-11.04200610148675
blow,7590.4541015625,-14.61548767353474
blow,7601.220703125,-20.018850038525947
blow,7611.9873046875,-15.228644020214205
blow,7622.75390625,-17.241246238666818
blow,7633.5205078125,-12.538716202942211
blow,7644.287109375,-8.837498884998269
blow,7655.0537109375,-11.488761892748755
blow,7665.8203125,-18.377062546305993
blow,7676.5869140625,-19.8104433000634
blow,7687.353515625,-11.603945091193888
blow,7698.1201171875,-11.16007634858468
blow,7708.88671875,-17.84621761437168
blow,7719.6533203125,-10.948520416668554
blow,7730.419921875,-10.45851336464375
blow,7741.1865234375,-15.210315987316033
blow,7751.953125,-12.866916845162727
blow,7762.7197265625,-16.36813313724162
blow,7773.486328125,-12.517108357647961
blow,7784.2529296875,-17.074528420676454
blow,7795.01953125,-22.054355531545475
blow,7805.7861328125,-16.84170084959031
blow,7816.552734375,-16.627652194937696
